label,rssi,fft_peak,fft_mean,fft_std,fft_energy,dominant_frequency,dominant_frequency_magnitude,psd_mean,psd_std,psd_max,psd_min,psd_skewness,psd_kurtosis,psd_energy,spectral_centroid,spectral_spread,spectral_bandwidth,spectral_rolloff_85,spectral_rolloff_95,spectral_entropy,spectral_flatness,num_psd_peaks,peak_to_average_ratio,frequency_of_max_psd,low_freq_energy,mid_freq_energy,high_freq_energy,spectral_slope
0,-91,412.1,53.8995969193488,68.62215168538307,243653.32000000007,0.0,412.1,0.15354746111120085,0.2322515219487499,0.8351765389548303,0.0037274964812436637,2.1250572540258235,3.1447810380766796,2.6103068388904145,9.642316831702853,8.999407634363507,25.0,18.75,25.0,2.9179642846494303,0.33553396339277236,2,5.439172316744938,3.125,0.7097792449779476,0.24915292637033035,0.041067445555144154,-1.9494256982028668
0,-93,405.2,76.859376722957,65.17045887331602,324945.68,0.0,405.2,0.13600848228021056,0.2557287347902365,1.0837648614294395,0.0051469967681556485,2.973673256003761,8.162669731146632,2.31214419876358,7.647797896050683,8.599616819410922,28.125,12.5,28.125,2.6074758858773874,0.3071045720438691,2,7.96830370397732,3.125,0.7848079643055963,0.1765768344873032,0.03861476870831085,-1.850925670125158
0,-77,1324.9,145.66867175140118,225.84439182805167,2311201.6400000006,0.0,1324.9,1.7331976581389157,3.415891163211768,12.27253162117234,0.007965368573643728,2.1705921205883008,3.409778290240636,29.464360188361567,5.140371516722251,4.73112791570162,12.5,6.25,12.5,2.1765814549543134,0.09881613649419473,1,7.080856867469775,3.125,0.9216495345781045,0.0721776115732685,0.006172819909319915,-2.8577691832441747
0,-86,705.0,84.72307373976354,120.59541409641822,695080.1000000001,0.0,705.0,0.3312979946713168,0.7719498921717904,3.2042201009478437,0.0014672492311518244,3.060591515981619,8.377163713089478,5.632065909412386,5.237460324125965,5.610681480249197,18.75,6.25,18.75,2.0134840395650144,0.12701055638508163,1,9.671686761762633,3.125,0.9012332067766158,0.09089314051130117,0.007873475157374129,-2.631078736644409
0,-88,763.1,87.19775610487619,130.00540404258018,784155.3200000001,0.0,763.1,0.34879901896496635,0.8377821898962826,3.513435185242557,0.0003646645507656811,3.164114772754662,9.019163100162947,5.929583322404428,4.8114829226630915,5.113334290942744,15.625,6.25,15.625,1.9249810142351305,0.09029247787812568,1,10.07292142835419,3.125,0.9038481582538959,0.09073376161579103,0.0054179114844273655,-2.975880111532289
0,-87,755.1,87.62174074659542,129.71078616883187,784078.6399999999,0.0,755.1,0.4558701722443462,1.0498379308456802,4.457331465979161,0.0015580812112194198,3.234705940382798,9.448573873849371,7.749792928153885,5.332151233652848,5.3076179556734715,15.625,9.375,15.625,2.0766279103580945,0.1043266469165623,1,9.777612047795905,3.125,0.8869203952955433,0.10738040541617158,0.005699070252595952,-2.9338205805915654
0,-89,682.6,85.35483116488214,114.87746862119857,655432.9600000001,0.0,682.6,0.3354520092406985,0.6941859972486569,2.985800435207994,0.002709980977023199,3.2385448530121366,9.52915836818843,5.702684157091874,6.903833670871889,7.410030619726673,21.875,15.625,21.875,2.424668045948555,0.2019021175057306,1,8.900800866167174,3.125,0.7924910783671776,0.19338181635285176,0.014126929923981058,-2.3852587143357438
0,-88,637.3000000000001,81.76513434495008,107.87064153676043,586291.6000000002,0.0,637.3000000000001,0.239394142296779,0.5755093394626561,2.3787057167786183,0.00038915923458835377,3.038706845377643,8.304665193079787,4.069700419045243,4.651782305017708,5.1685553571517895,15.625,6.25,15.625,1.867153158185332,0.10175464961986161,1,9.936315724525974,3.125,0.9248309561505618,0.06414478961595356,0.011024008515212938,-2.6451161587716596
0,-87,652.7,82.72900462705066,109.40457277197069,602030.3600000001,0.0,652.7,0.28583823918605317,0.5140205509256517,2.176580900852239,0.0010199453154937869,2.8981464638519023,7.8459141683052565,4.859250066162904,7.288126836169795,7.302945691381672,25.0,15.625,25.0,2.626267041843288,0.1706407678127468,1,7.614702960482972,3.125,0.7715561530609715,0.21806142275295073,0.010382218393047862,-2.747475925804135
0,-89,617.0999999999999,82.28748929308426,105.28071573579153,571368.3199999998,0.0,617.0999999999999,0.2628123732928446,0.569997382470787,2.3198193110670533,0.002919181495017218,2.8680448091591177,7.21091601183409,4.467810345978359,6.052600702879985,6.348598540062369,18.75,9.375,18.75,2.190859577815926,0.17118473617410526,1,8.826869356005535,3.125,0.8612597643859644,0.12237041348517204,0.01636959830562616,-2.3879694808314955
