label,rssi,mean_amp,shannon_entropy,normalized_entropy,renyi_entropy_alpha_0.5,renyi_entropy_alpha_1,renyi_entropy_alpha_2,renyi_entropy_alpha_3,tsallis_entropy_q_0.5,tsallis_entropy_q_1.5,tsallis_entropy_q_2,sample_entropy,approximate_entropy,permutation_entropy,svd_entropy,fractal_dimension,lz_complexity
0,-80,19.0390625,5.5406220939867525,0.9234370156644588,5.661856318620445,5.5406220939867525,5.247079614097233,4.878878013327922,12.230633247808179,1.6927748578079513,0.9736697396899474,0.5909418818085855,0.47056691201892553,-1.6743310423506184e-06,3.676788659228524,0,0.171875
0,-79,16.8328125,5.487493193861151,0.9145821989768584,5.63990950032323,5.487493193861151,5.111107373702809,4.675392669694994,12.122802974779969,1.6827786944573178,0.9710673402863319,0.6757157643178742,0.5494349434309496,-1.6743310423506184e-06,3.75963874652523,0,0.171875
0,-80,16.0046875,5.48549292146852,0.9142488202447533,5.639855788101383,5.48549292146852,5.0853747633034985,4.610432856291354,12.122540077857199,1.6816924450786384,0.9705466354926056,0.572791899433124,0.5319342449857625,-1.6743310423506184e-06,3.619185133533709,0,0.1875
0,-77,19.978125,5.4783555600930995,0.9130592600155166,5.644701873768092,5.4783555600930995,4.995741763589072,4.43544481810773,12.146279174321084,1.6772733099571457,0.9686586267257219,0.4848533860046618,0.3976967529792126,-1.6743310423506184e-06,3.592287662022647,0,0.1875
0,-78,20.9546875,5.510657084643769,0.9184428474406281,5.644547542339291,5.510657084643769,5.234704290769778,4.940643860828212,12.145522549622873,1.6895697807099745,0.9734429007206489,0.4962848963305963,0.3787710579188146,-1.6743310423506184e-06,3.6752833636667033,0,0.171875
0,-75,19.00625,5.545793535628402,0.9242989226047337,5.6660690445929225,5.545793535628402,5.24873489221763,4.877109219249702,12.251425428496272,1.6931873642074493,0.973699933572524,0.3960973767885562,0.38565068528812363,-1.6743310423506184e-06,3.3910246036841962,0,0.171875
0,-91,8.24375,5.392246597346757,0.8987077662244595,5.596741370772858,5.392246597346757,4.845366359014253,4.263616892648442,11.913085324347737,1.6634464194343515,0.9652154090299785,0.5867877355669986,0.5485475512793303,-1.6743310423506184e-06,3.6071110337041907,0,0.203125
0,-76,19.4046875,5.479162132689121,0.9131936887815201,5.618770628795773,5.479162132689121,5.195313133460034,4.8672763489059765,12.01971492132133,1.6860090501757679,0.9727077715745797,0.5942117799082208,0.4618281478252113,-1.6743310423506184e-06,3.54163817818489,0,0.15625
0,-79,19.1953125,5.505093071769059,0.9175155119615098,5.642732117775918,5.505093071769059,5.201465835863278,4.854766920441228,12.136625293097527,1.6879291533772194,0.9728239219279936,0.5707536457059986,0.4575427471424356,-1.6743310423506184e-06,3.6051491239448406,0,0.15625
0,-78,19.7890625,5.506178294781425,0.9176963824635709,5.6348804165085955,5.506178294781425,5.231801089876301,4.905748780817867,12.098209104411557,1.689597625084612,0.973389402838648,0.45957586468316064,0.40712488538738745,-1.6743310423506184e-06,3.6626008404306103,0,0.171875
0,-90,9.618749999999999,5.484053533571194,0.9140089222618656,5.639123798116894,5.484053533571194,5.059886613707383,4.549525775695262,12.11895780720574,1.680676125428446,0.9700216401841839,0.4903691520628003,0.5125639052879536,-1.6743310423506184e-06,3.5112760578458357,0,0.203125
0,-92,8.390625,5.299765512462969,0.8832942520771615,5.52589020498981,5.299765512462969,4.783576074620682,4.2644935859833355,11.575607837669537,1.652955375772124,0.9636931849088963,0.4230921628973405,0.41381713606532156,-1.6743310423506184e-06,3.550329147384204,0,0.203125
0,-91,7.9281250000000005,5.291595978530976,0.881932663088496,5.537184535371381,5.291595978530976,4.725967036045961,4.170161954578446,11.628851210749547,1.649133891336268,0.9622140217502493,0.5697058942993214,0.48562447835348843,-1.6743310423506184e-06,3.5704027477298474,0,0.203125
0,-91,7.973437499999999,5.249309962656573,0.8748849937760955,5.4920333931460865,5.249309962656573,4.701758108691467,4.1693926868156455,11.417244230396033,1.6447183484575272,0.9615745931257482,0.4882830104128316,0.4498861400477474,-1.6743310423506184e-06,3.5173200592980702,0,0.203125
0,-89,8.315625,5.465368757142533,0.9108947928570889,5.641015087847772,5.465368757142533,4.920120799745768,4.301150873599997,12.12821541064436,1.6730749808111929,0.9669719519366021,0.5586149807315559,0.48806670290580856,-1.6743310423506184e-06,3.7219862906734074,0,0.1875
0,-89,8.8046875,5.474168131884186,0.912361355314031,5.642557923428043,5.474168131884186,4.977122700463763,4.400961885038194,12.135771874262788,1.676206323744531,0.9682515084240437,0.5499169793517238,0.4903885230089293,-1.6743310423506184e-06,3.6468000155430076,0,0.1875
0,-78,18.5421875,5.445761488746623,0.9076269147911038,5.607146844959956,5.445761488746623,5.118956734613239,4.773095170532907,11.963350149690369,1.6797696659670227,0.9712243339837635,0.45691752013943404,0.4130775637729922,-1.6743310423506184e-06,3.4438836384538165,0,0.1875
0,-78,19.625,5.60136221585047,0.9335603693084117,5.697113324408492,5.60136221585047,5.332494793713397,4.957926188280948,12.405586183939775,1.700911909217722,0.9751834380086027,0.513842568655321,0.4442591543561889,-1.6743310423506184e-06,3.5487591346295786,0,0.171875
0,-92,9.989062500000001,5.4796662952797295,0.9132777158799549,5.634330974801052,5.4796662952797295,5.080043471577597,4.603402463310909,12.095524750652917,1.6811142649954118,0.970437589363891,0.5408817521805734,0.4869135931447208,-1.6743310423506184e-06,3.596181612754818,0,0.203125
0,-81,19.1984375,5.5406782699872466,0.9234463783312078,5.6648945029712605,5.5406782699872466,5.238872740222252,4.874090041116775,12.245625350253539,1.692265223059366,0.9735195255865561,0.6178150151488444,0.47602804284497235,-1.6743310423506184e-06,3.8118268305147693,0,0.171875
0,-77,19.01875,5.535575895896085,0.9225959826493475,5.65495817484556,5.535575895896085,5.247082483842195,4.878954108186127,12.196652497746914,1.6925677811564108,0.97366979206687,0.5258617995288143,0.5470176025501323,-1.6743310423506184e-06,3.5285628286214115,0,0.1875
0,-81,18.2875,5.493856357526276,0.9156427262543794,5.635366660119988,5.493856357526276,5.175512108292811,4.800166480338327,12.100585123782656,1.6861495070207875,0.9723305888382802,0.5555413025637739,0.4159561250699717,-1.6743310423506184e-06,3.5459517692286227,0,0.1875
