label,rssi,mean_amp,std_amp,max_amp,min_amp,median_amp,skewness,kurtosis,variance_ratio,mean_absolute_deviation,median_absolute_deviation,q1,q3,iqr,percentile_95,percentile_5,percentile_range_95,harmonic_mean,geometric_mean,zero_crossing_rate,autocorrelation_peak,total_energy,rms,crest_factor,shape_factor,impulse_factor,margin_factor
0,-89,10.3375,9.51164582235903,69.9,0.0,10.600000000000001,3.6634837657109043,21.33287225809949,8.751767593541224,6.040625,4.35,4.875,14.225,9.35,17.985,0.0,17.985,7.111104900173617e-06,1.01238357929742,0,197.33531250000001,12629.460000000001,14.04760878228035,4.975935485350102,1.3588979369656506,6.761788946864431,24.666324889037657
0,-89,9.1390625,8.85091127348443,69.9,0.0,9.5,4.890516967135408,31.902171869086786,8.571844409560539,4.469091796875,2.8499999999999996,5.625,11.7,6.074999999999999,13.584999999999999,0.0,13.584999999999999,7.111105233212865e-06,0.9518815066445592,0,161.86109375000004,10359.11,12.722464138287048,5.49421823838547,1.3920971375554017,7.648486083940659,26.013368443738553
0,-90,8.5,8.806992960142527,69.9,0.0,9.1,5.1500687019616995,34.07301422255043,9.12507245587383,4.3062499999999995,2.2,4.175,11.0,6.825,13.0,0.0,13.0,7.111104420616684e-06,0.8740308752981646,0,149.813125,9588.04,12.239817196347339,5.710869138633112,1.4399783242787076,8.223528444290773,27.149906459360356
0,-87,8.860937499999999,8.845313328033878,69.9,0.0,8.8,5.003300954717248,32.62719965902143,8.829715709131012,4.260937500000001,2.3,6.1,10.850000000000001,4.750000000000002,15.409999999999997,0.0,15.409999999999997,7.1111047510664976e-06,0.9194972900819933,0,156.75578125000004,10032.370000000003,12.520214904305758,5.582970815699839,1.4129671370934085,7.888554920000858,26.474366885850834
0,-91,8.2265625,8.907585289156302,69.9,0.0,8.2,5.073804781590554,33.057522013691475,9.644984285794886,4.580517578125001,3.1500000000000004,3.6,10.65,7.050000000000001,13.485,0.0,13.485,7.111103992989363e-06,0.8338683241941199,0,147.02140625000004,9409.37,12.12523839971817,5.76483463094549,1.4739129406486888,8.496865064008807,27.764170653654585
0,-84,16.028125,15.898510825997981,130.0,0.0,16.3,5.605455730767325,38.42275824168149,15.769943815289137,6.61923828125,3.3999999999999986,12.149999999999999,19.4,7.25,21.985,0.0,21.985,7.111108256703045e-06,1.59882881278586,0,509.6634375,32618.46,22.57572673248859,5.758396873865457,1.4085069416405005,8.11074232882871,36.274107919280674
0,-84,17.5765625,16.007554292695488,130.0,0.0,17.75,5.217173422990782,35.23610361369829,14.578606018952097,6.867919921875,3.200000000000001,15.8,21.675,5.875,23.955,0.0,23.955,7.111108540655432e-06,1.7497767127290496,0,565.1773437500001,36171.350000000006,23.773458809142603,5.468282742337977,1.3525658078237308,7.396212575911098,34.48721271322049
0,-83,16.875,16.07979127663043,130.0,0.0,18.25,5.2545919533425325,35.47685565154569,15.322054647581949,7.0171874999999995,2.049999999999999,15.225000000000001,19.775,4.549999999999997,23.169999999999998,0.0,23.169999999999998,7.1111077174377e-06,1.63235993816962,0,543.3253125000001,34772.82000000001,23.3093395981096,5.5771633458624335,1.3812941165520285,7.703703247187955,35.44212736101371
0,-88,12.8296875,15.724907389308965,130.0,0.0,12.0,6.3826634310321415,45.23294128384901,19.273477481728705,6.022167968750001,3.45,9.125,15.6,6.475,17.0,0.0,17.0,7.111107402673516e-06,1.2800029705310612,0,411.87359375,26359.910000000003,20.294669096834273,6.4056227265442685,1.5818520532929754,10.132747961885435,41.06326521969101
0,-86,14.3984375,17.312229169248937,130.0,0.0,9.149999999999999,4.631269858422042,28.22581113233642,20.81567933971408,10.241943359375,7.050000000000001,6.300000000000001,20.275,13.974999999999998,28.934999999999995,0.0,28.934999999999995,7.111106805177691e-06,1.272429259065787,0,507.02828124999996,32449.809999999998,22.517288496841708,5.773341414748605,1.5638701722302533,9.02875683359692,39.792028311094
0,-86,15.064062499999999,17.267358722343545,130.0,0.0,10.0,4.560671078442954,27.827170805139403,19.79291160357189,10.312451171875,5.800000000000001,7.25,25.1,17.85,27.285,0.0,27.285,7.111106769240181e-06,1.341810279951446,0,525.08765625,33605.61,22.91479121113697,5.673191308137538,1.5211560420690586,8.629809612791398,38.667898747466595
0,-85,17.198437499999997,18.23522083246029,130.0,0.0,11.3,3.6919087686962317,20.15456549594558,19.334504048643357,12.016845703125,8.6,7.6,27.25,19.65,34.839999999999996,0.0,34.839999999999996,7.111107669466846e-06,1.5190261880416167,0,628.30953125,40211.81,25.066103232253713,5.1862865802944755,1.4574638989611595,7.558825762001592,36.08737031684657
0,-85,16.334375,18.057271896922163,130.0,0.0,11.0,3.9154419261617757,21.804275525152903,19.96189314849707,11.40234375,6.799999999999999,7.225,23.575,16.35,35.425,0.0,35.425,7.1111073655187974e-06,1.4369476904073322,0,592.876875,37944.119999999995,24.349063123660425,5.339014236431233,1.4906638076447134,7.958675617605471,37.16367081798124
0,-83,17.484375,17.71937691792166,130.0,0.0,13.0,3.967711602026949,22.672693158684904,17.957536394743226,10.92060546875,5.85,9.2,24.975,15.775000000000002,34.05,0.0,34.05,7.111107995855154e-06,1.604930728400994,0,619.6796875,39659.5,24.89336633523076,5.222274602279914,1.4237491995842892,7.435209583687745,35.38916514601891
0,-75,17.740625,11.290188200795194,43.9,0.0,19.55,-0.14578398340702955,-1.0662345037588437,7.185110018630402,9.9537109375,9.55,9.174999999999999,27.2,18.025,31.989999999999995,0.0,31.989999999999995,7.111107456768566e-06,1.6772198201924884,0,442.198125,28300.68,21.028507436335087,2.0876421232114275,1.1853306324328738,2.474546275875496,11.63444879132332
0,-75,14.209375000000001,9.390249576522182,43.9,0.0,14.0,0.19641232854709886,-0.0785775447485828,6.205535493562491,7.5568359375,7.750000000000001,7.75,22.525,14.774999999999999,25.285,0.0,25.285,7.111106318624135e-06,1.3681435272687505,0,290.083125,18565.32,17.031826825094246,2.5775272302435384,1.198632988886651,3.0895093493197727,13.03750154984069
